pickup,delivery,distance,equipment,weight,date,predicted_rate
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-01,879.2878158758552
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-02,903.6749140306761
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-03,913.4437552726747
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-04,913.4437552726747
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-05,835.693398440907
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-06,860.6387502058093
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-07,852.9338533233749
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-08,879.2878158758552
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-09,903.6749140306761
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-10,913.4437552726747
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-11,913.4437552726747
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-12,835.693398440907
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-13,860.6387502058093
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-14,852.9338533233749
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-15,879.2878158758552
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-16,903.6749140306761
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-17,913.4437552726747
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-18,913.4437552726747
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-19,835.693398440907
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-20,860.6387502058093
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-21,852.9338533233749
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-22,879.2878158758552
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-23,903.6749140306761
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-24,913.4437552726747
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-25,913.4437552726747
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-26,835.693398440907
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-27,860.6387502058093
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-28,852.9338533233749
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-29,879.2878158758552
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-30,903.6749140306761
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-31,913.4437552726747
